id;phone_number;content;status;created_by;created_at
1;+989129882954;Intranet Buckinghamshire;SENT;admin;2022-08-15T18:52:47
2;+989129892874;AI Integration invoice;SENT;admin;2022-08-15T18:52:47
3;+989129930266;Bacon Mobility matrix;FAILED;admin;2022-08-14T18:52:47
4;+989129977335;Metal Bedfordshire withdrawal;SENT;admin;2022-08-12T18:52:47
5;+989129905424;architectures paradigms Intranet;SENT;admin;2022-08-12T18:52:47
6;+989129886288;SMS Chief methodical;SENT;admin;2022-08-11T18:52:47
7;+989129899998;integrate;FAILED;admin;2022-08-11T18:52:47
8;+989129954700;Your code is 543212;IN_QUEUE;admin;2022-08-11T18:52:47
9;+989129901913;Welcome to the club!;FAILED;admin;2022-08-10T18:52:47
10;+989129976887;Check our new version on app store!!!;IN_QUEUE;admin;2022-08-10T18:52:47
